site_id,group,matched_treatment_site_id,control_rank,sensor,period_id,seq,half,period_start,period_end,has_latent,valid_pixel_fraction
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,before_P03,3,before,2024-06-07,2024-06-20,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,before_P06,6,before,2024-07-19,2024-08-01,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,before_P07,7,before,2024-08-02,2024-08-15,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,after_P02,12,after,2024-10-11,2024-10-24,False,
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,after_P03,13,after,2024-10-25,2024-11-07,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,after_P07,17,after,2024-12-20,2025-01-02,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,after_P08,18,after,2025-01-03,2025-01-16,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel1,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,before_P01,1,before,2024-05-10,2024-05-23,True,0.2279188314871091
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,before_P02,2,before,2024-05-24,2024-06-06,True,0.7302225272032153
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,before_P03,3,before,2024-06-07,2024-06-20,True,0.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,before_P06,6,before,2024-07-19,2024-08-01,True,0.3017351240074502
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,before_P07,7,before,2024-08-02,2024-08-15,True,0.83285952357612
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,after_P02,12,after,2024-10-11,2024-10-24,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,after_P03,13,after,2024-10-25,2024-11-07,True,0.29320654837761
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,after_P04,14,after,2024-11-08,2024-11-21,True,0.8890304872071365
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,after_P07,17,after,2024-12-20,2025-01-02,True,0.5505342613469267
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,after_P08,18,after,2025-01-03,2025-01-16,True,0.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0001_02,counterfactual,treatment_0001,2.0,sentinel2,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,before_P02,2,before,2024-05-24,2024-06-06,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,before_P03,3,before,2024-06-07,2024-06-20,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,before_P06,6,before,2024-07-19,2024-08-01,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,before_P07,7,before,2024-08-02,2024-08-15,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,after_P02,12,after,2024-10-11,2024-10-24,False,
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,after_P03,13,after,2024-10-25,2024-11-07,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,after_P07,17,after,2024-12-20,2025-01-02,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,after_P08,18,after,2025-01-03,2025-01-16,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel1,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,before_P02,2,before,2024-05-24,2024-06-06,True,0.1156749338300166
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,before_P03,3,before,2024-06-07,2024-06-20,True,0.9976472894814232
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,before_P04,4,before,2024-06-21,2024-07-04,True,0.9674541711596902
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,before_P06,6,before,2024-07-19,2024-08-01,True,0.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,before_P07,7,before,2024-08-02,2024-08-15,True,0.7957063033035977
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,before_P08,8,before,2024-08-16,2024-08-29,True,0.3798647191451818
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,before_P09,9,before,2024-08-30,2024-09-12,True,0.7460052935986669
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,after_P02,12,after,2024-10-11,2024-10-24,True,1.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,after_P03,13,after,2024-10-25,2024-11-07,True,0.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,after_P04,14,after,2024-11-08,2024-11-21,True,0.952553671208705
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,after_P06,16,after,2024-12-06,2024-12-19,True,0.9776492500735222
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,after_P07,17,after,2024-12-20,2025-01-02,True,0.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,after_P08,18,after,2025-01-03,2025-01-16,True,0.0
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,after_P09,19,after,2025-01-17,2025-01-30,True,0.9978433486913048
counterfactual_0001_03,counterfactual,treatment_0001,3.0,sentinel2,after_P10,20,after,2025-01-31,2025-02-13,True,0.3910400941084207
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,before_P02,2,before,2024-05-24,2024-06-06,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,before_P03,3,before,2024-06-07,2024-06-20,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,before_P06,6,before,2024-07-19,2024-08-01,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,before_P07,7,before,2024-08-02,2024-08-15,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,after_P02,12,after,2024-10-11,2024-10-24,False,
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,after_P03,13,after,2024-10-25,2024-11-07,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,after_P07,17,after,2024-12-20,2025-01-02,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,after_P08,18,after,2025-01-03,2025-01-16,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel1,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,before_P02,2,before,2024-05-24,2024-06-06,True,0.9945103421233212
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,before_P03,3,before,2024-06-07,2024-06-20,True,0.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,before_P06,6,before,2024-07-19,2024-08-01,True,0.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,before_P07,7,before,2024-08-02,2024-08-15,True,0.5365160278404077
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,before_P08,8,before,2024-08-16,2024-08-29,True,0.9400058817762964
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,before_P09,9,before,2024-08-30,2024-09-12,True,0.8837368885403392
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,after_P02,12,after,2024-10-11,2024-10-24,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,after_P03,13,after,2024-10-25,2024-11-07,True,0.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,after_P04,14,after,2024-11-08,2024-11-21,True,0.9725517106166062
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,after_P07,17,after,2024-12-20,2025-01-02,True,0.6162140966571905
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,after_P08,18,after,2025-01-03,2025-01-16,True,0.2439956866973826
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0001_04,counterfactual,treatment_0001,4.0,sentinel2,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,before_P02,2,before,2024-05-24,2024-06-06,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,before_P03,3,before,2024-06-07,2024-06-20,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,before_P06,6,before,2024-07-19,2024-08-01,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,before_P07,7,before,2024-08-02,2024-08-15,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,after_P02,12,after,2024-10-11,2024-10-24,False,
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,after_P03,13,after,2024-10-25,2024-11-07,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,after_P07,17,after,2024-12-20,2025-01-02,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,after_P08,18,after,2025-01-03,2025-01-16,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,after_P09,19,after,2025-01-17,2025-01-30,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel1,after_P10,20,after,2025-01-31,2025-02-13,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,before_P02,2,before,2024-05-24,2024-06-06,True,0.3674149593177139
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,before_P03,3,before,2024-06-07,2024-06-20,True,0.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,before_P06,6,before,2024-07-19,2024-08-01,True,0.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,before_P07,7,before,2024-08-02,2024-08-15,True,0.2471326340554847
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,before_P09,9,before,2024-08-30,2024-09-12,True,0.7946279776492501
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,after_P02,12,after,2024-10-11,2024-10-24,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,after_P03,13,after,2024-10-25,2024-11-07,True,0.0199980394079011
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,after_P04,14,after,2024-11-08,2024-11-21,True,0.0011763552592883
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,after_P07,17,after,2024-12-20,2025-01-02,True,0.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,after_P08,18,after,2025-01-03,2025-01-16,True,0.0
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,after_P09,19,after,2025-01-17,2025-01-30,True,0.9798059013822176
counterfactual_0001_05,counterfactual,treatment_0001,5.0,sentinel2,after_P10,20,after,2025-01-31,2025-02-13,True,0.9976472894814232
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,before_P01,1,before,2024-05-10,2024-05-23,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,before_P02,2,before,2024-05-24,2024-06-06,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,before_P03,3,before,2024-06-07,2024-06-20,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,before_P04,4,before,2024-06-21,2024-07-04,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,before_P05,5,before,2024-07-05,2024-07-18,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,before_P06,6,before,2024-07-19,2024-08-01,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,before_P07,7,before,2024-08-02,2024-08-15,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,before_P08,8,before,2024-08-16,2024-08-29,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,before_P09,9,before,2024-08-30,2024-09-12,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,before_P10,10,before,2024-09-13,2024-09-26,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,after_P01,11,after,2024-09-27,2024-10-10,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,after_P02,12,after,2024-10-11,2024-10-24,False,
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,after_P03,13,after,2024-10-25,2024-11-07,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,after_P04,14,after,2024-11-08,2024-11-21,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,after_P05,15,after,2024-11-22,2024-12-05,False,
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,after_P06,16,after,2024-12-06,2024-12-19,True,1.0
counterfactual_0002_01,counterfactual,treatment_0002,1.0,sentinel1,after_P07,17,after,2024-12-20,2025-01-02,True,1.0
